root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses
720575940619859532,['aIPg4'],SIP.AOTU.4,ACH,intrinsic,central,,,['CB2204'; 'aIPgc'],VLPl&p1_posterior,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,198,889
720575940633353327,['pC1d_TopOutputs (Neuprint1.1 aIPg4) | pC1e_TopOutputs (Neuprint1.1 aIPg4 (5813068484)/SMP558) | aIP-g-c(L)(FW) Murthy36971?aIP-g-c(L)(FW)'; 'aIPg4'],AVLP.SIP.6,ACH,intrinsic,central,,,['CB1127'; 'aIPgc'],VLPl&p1_posterior,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,452,952
720575940645931060,['pC1d_TopOutputs (Neuprint1.1 aIPg4) | pC1e_TopOutputs (Neuprint1.1 aIPg4 (5813068484)/SMP558) | aIP-g-c(L)(FW) Murthy36971?aIP-g-c(L)(FW)'; 'aIPg4'],AVLP.AOTU.3,ACH,intrinsic,central,,,['CB1127'; 'aIPgc'],VLPl&p1_posterior,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,447,970
720575940614081909,['pC1d_TopOutputs (Neuprint1.1 aIPg4)'; 'aIPg4'],SIP.26,ACH,intrinsic,central,,,['CB1127'; 'aIPgc'],VLPl&p1_posterior,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],left,312,1028
720575940651713782,['aIPg4'],SIP.AOTU.3,ACH,intrinsic,central,,,['CB2204'; 'aIPgc'],VLPl&p1_posterior,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'],right,204,952
720575940640889176,['aIPg4'],SMP.674,ACH,intrinsic,central,,,['SMP558'; 'aIPgc'],VLPl&p1_posterior,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],left,287,647
720575940623766458,['aIPg4'],AOTU.SIP.28,ACH,intrinsic,central,,,['CB1877'; 'aIPgc'],VLPl&p1_posterior,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,196,1060
720575940617900123,['aIPg4'],SIP.AOTU.5,ACH,intrinsic,central,,,['CB2204'; 'aIPgc'],VLPl&p1_posterior,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,274,820
720575940628135675,['pC1d_TopOutputs (Neuprint1.1 aIPg4) | pC1e_TopOutputs (Neuprint1.1 aIPg4 (5813068484)/SMP558) | aIP-g-c(L)(FW) Murthy36971?aIP-g-c(L)(FW)'; 'aIPg4'],SIP.AOTU.2,ACH,intrinsic,central,,,['CB1127'; 'aIPgc'],VLPl&p1_posterior,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,436,913
720575940626744838,['aIPg3'],AVLP.GOR.35,ACH,intrinsic,central,,,['CB1618'],VLPl&p1_posterior,,[],left,15,22
