rPos_deg,AOTU002_a,AOTU002_c,AOTU005_3,AOTU015_4,AOTU016_a,AOTU016_c,AOTU019_7,AOTU025_8,AOTU026_9,AOTU027_10,LAL026_a,LAL027_12,LAL028_13,LAL029_e
-15,0.000143084713757984,0.00482541446481306,1.87942191199344e-16,2.11561270335283e-16,4.29690412943661e-16,1.56302729576067e-17,0.0314818393061067,0,8.07090458174602e-17,1.66722911547805e-16,8.51613053872027e-16,9.77602526803039e-17,6.80343153827464e-16,2.91575637354627e-16
-14.6120689655172,0.000335803126135318,0.0053543736079067,2.81913286799016e-16,2.11561270335283e-16,4.29690412943661e-16,1.56302729576067e-17,0.0446894895193386,1.51945198933341e-16,0,1.66722911547805e-16,8.51613053872027e-16,9.77602526803039e-17,5.01305481767605e-16,2.91575637354627e-16
-14.2241379310345,0.00056730325292176,0.00589270758924822,2.81913286799016e-16,2.11561270335283e-16,2.14845206471831e-16,1.56302729576067e-17,0.0612255458644398,1.51945198933341e-16,8.07090458174602e-17,3.54286187039086e-16,8.51613053872027e-16,9.77602526803039e-17,5.01305481767605e-16,2.91575637354627e-16
-13.8362068965517,0.000945674222216485,0.00643702441882433,2.81913286799016e-16,2.11561270335283e-16,4.29690412943661e-16,2.27349424837916e-17,0.0813740475519374,3.79862997333351e-16,8.07090458174602e-17,3.54286187039086e-16,8.51613053872027e-16,9.77602526803039e-17,5.01305481767605e-16,6.15548567748658e-16
-13.448275862069,0.00143986866183465,0.00698677078624797,2.81913286799016e-16,2.11561270335283e-16,6.44535619415492e-16,2.98396120099765e-17,0.105288857163242,1.51945198933341e-16,2.28675629816137e-16,1.66722911547805e-16,6.31841943195375e-16,0,5.01305481767605e-16,9.39521498142688e-16
-13.0603448275862,0.00207658426351752,0.00753904714885364,1.87942191199344e-16,2.11561270335283e-16,4.29690412943661e-16,2.98396120099765e-17,0.132875332746961,1.51945198933341e-16,2.28675629816137e-16,1.66722911547805e-16,6.31841943195375e-16,9.77602526803039e-17,5.01305481767605e-16,6.15548567748658e-16
-12.6724137931034,0.00288927141343849,0.00809167033625122,1.87942191199344e-16,1.05780635167642e-16,4.29690412943661e-16,2.98396120099765e-17,0.164069099057934,3.79862997333351e-16,1.6141809163492e-16,1.66722911547805e-16,8.51613053872027e-16,9.77602526803039e-17,3.22267809707746e-16,6.15548567748658e-16
-12.2844827586207,0.00391514593572356,0.00863357531677783,2.81913286799016e-16,2.11561270335283e-16,4.29690412943661e-16,3.69442815361614e-17,0.198058219185446,3.79862997333351e-16,1.6141809163492e-16,3.54286187039086e-16,6.31841943195375e-16,9.77602526803039e-17,5.01305481767605e-16,6.15548567748658e-16
-11.8965517241379,0.00514398746260057,0.00916258944825895,2.81913286799016e-16,3.17341905502925e-16,4.29690412943661e-16,2.98396120099765e-17,0.234520089079756,3.79862997333351e-16,1.6141809163492e-16,3.54286187039086e-16,6.31841943195375e-16,9.77602526803039e-17,5.01305481767605e-16,6.15548567748658e-16
-11.5086206896552,0.00657542846502615,0.00967533191619703,9.3971095599672e-17,3.17341905502925e-16,2.14845206471831e-16,2.98396120099765e-17,0.272771097016198,3.79862997333351e-16,1.6141809163492e-16,3.54286187039086e-16,4.12070832518723e-16,9.77602526803039e-17,6.80343153827464e-16,6.15548567748658e-16
-11.1206896551724,0.00822240059537945,0.0101706165172166,9.3971095599672e-17,3.17341905502925e-16,4.29690412943661e-16,2.98396120099765e-17,0.311997836792741,3.79862997333351e-16,8.07090458174602e-17,3.54286187039086e-16,6.31841943195375e-16,1.95520505360608e-16,8.23573291475351e-16,6.15548567748658e-16
-10.7327586206897,0.0100341264716409,0.0106414340754187,1.87942191199344e-16,2.11561270335283e-16,4.29690412943661e-16,2.27349424837916e-17,0.351183589824012,1.51945198933341e-16,8.07090458174602e-17,1.66722911547805e-16,6.31841943195375e-16,1.95520505360608e-16,5.01305481767605e-16,2.91575637354627e-16
-10.3448275862069,0.0119859679294121,0.011068975638246,1.87942191199344e-16,2.11561270335283e-16,4.29690412943661e-16,1.56302729576067e-17,0.389495230577764,0,8.07090458174602e-17,1.66722911547805e-16,8.51613053872027e-16,9.77602526803039e-17,6.80343153827464e-16,2.91575637354627e-16
-9.95689655172414,0.0140370176219517,0.0114599149390911,2.81913286799016e-16,2.11561270335283e-16,4.29690412943661e-16,1.56302729576067e-17,0.426274040290955,1.51945198933341e-16,0,1.66722911547805e-16,8.51613053872027e-16,9.77602526803039e-17,5.01305481767605e-16,2.91575637354627e-16
-9.56896551724138,0.0161339586772992,0.0118019857926687,2.81913286799016e-16,2.11561270335283e-16,2.14845206471831e-16,1.56302729576067e-17,0.46104105476003,1.51945198933341e-16,8.07090458174602e-17,3.54286187039086e-16,8.51613053872027e-16,9.77602526803039e-17,5.01305481767605e-16,2.91575637354627e-16
-9.18103448275862,0.0182170232127612,0.01210170251769,2.81913286799016e-16,2.11561270335283e-16,4.29690412943661e-16,2.27349424837916e-17,0.493457477004313,3.79862997333351e-16,8.07090458174602e-17,3.54286187039086e-16,8.51613053872027e-16,9.77602526803039e-17,5.01305481767605e-16,6.15548567748658e-16
-8.79310344827586,0.0202291105035272,0.0123396366484451,2.81913286799016e-16,2.11561270335283e-16,6.44535619415492e-16,2.98396120099765e-17,0.523462869631725,1.51945198933341e-16,2.28675629816137e-16,1.66722911547805e-16,6.31841943195375e-16,0,5.01305481767605e-16,9.39521498142688e-16
