neuropil,neuron,count
COURT_vnc_ABDNM,720575941531932901,131
COURT_vnc_ABDNM,720575941534339416,152
COURT_vnc_ABDNM,720575941528320952,100
COURT_vnc_ABDNM,720575941562440192,0
COURT_vnc_ABDNM,720575941585988318,0
COURT_vnc_ABDNM,720575941430548399,372
COURT_vnc_ABDNM,720575941578803025,76
COURT_vnc_ABDNM,720575941577732185,145
COURT_vnc_ABDNM,720575941603218361,0
COURT_vnc_ABDNM,720575941535140362,191
COURT_vnc_ABDNM,720575941594653991,0
COURT_vnc_ABDNM,720575941631396844,0
COURT_vnc_ABDNM,720575941612948188,1839
COURT_vnc_ABDNM,720575941407529646,470
COURT_vnc_ABDNM,720575941513324497,6797
COURT_vnc_ABDNM,720575941490717390,105
COURT_vnc_ABDNM,720575941427211604,0
COURT_vnc_ABDNM,720575941434511758,0
COURT_vnc_ABDNM,720575941611274086,1705
COURT_vnc_ABDNM,720575941489715253,33
COURT_vnc_ABDNM,720575941617513855,0
COURT_vnc_ABDNM,720575941590550156,316
COURT_vnc_ABDNM,720575941470533131,293
COURT_vnc_ABDNM,720575941507844702,1101
COURT_vnc_ABDNM,720575941525285197,97
COURT_vnc_ABDNM,720575941451984711,0
COURT_vnc_ABDNM,720575941476214833,352
COURT_vnc_ABDNM,720575941518509495,0
COURT_vnc_ABDNM,720575941529171384,0
COURT_vnc_ABDNM,720575941594509095,2961
COURT_vnc_ABDNM,720575941410264235,862
COURT_vnc_ABDNM,720575941476470836,9
COURT_vnc_ABDNM,720575941721638714,87
COURT_vnc_ABDNM,720575941536927464,163
COURT_vnc_ABDNM,720575941480044674,1234
COURT_vnc_ABDNM,720575941414104724,168
COURT_vnc_ABDNM,720575941688168310,0
COURT_vnc_ABDNM,720575941514434883,478
COURT_vnc_ABDNM,720575941441293519,435
COURT_vnc_ABDNM,720575941668831409,0
COURT_vnc_ABDNM,720575941632392096,268
COURT_vnc_ABDNM,720575941564653154,661
COURT_vnc_ABDNM,720575941701235930,42
COURT_vnc_ABDNM,720575941541926748,755
COURT_vnc_ABDNM,720575941618895231,98
COURT_vnc_ABDNM,720575941592384040,281
COURT_vnc_ABDNM,720575941573576712,3
COURT_vnc_ABDNM,720575941526589465,0
COURT_vnc_ABDNM,720575941559953267,315
COURT_vnc_ABDNM,720575941486103558,1533
COURT_vnc_ABDNM,720575941518602862,137
COURT_vnc_ABDNM,720575941545976764,399
COURT_vnc_ABDNM,720575941435210784,25
