rPos_deg,AOTU002_a,AOTU002_c,AOTU005,AOTU015,AOTU016_a,AOTU016_c,AOTU019,AOTU025,AOTU026,AOTU027,LAL026_a,LAL027,LAL028,LAL029_e
-12,0.00479710702819054,0.00902303604660303,2.81913286799016e-16,3.04303462768187e-16,4.29690412943661e-16,3.1085823672051e-17,0.224604970391791,3.79862997333351e-16,1.6141809163492e-16,3.54286187039086e-16,6.31841943195375e-16,9.77602526803039e-17,5.01305481767605e-16,6.15548567748658e-16
-11,0.0087688095187724,0.0103203658181809,1.1559811142317e-16,2.92996978416661e-16,4.29690412943661e-16,2.86782275681433e-17,0.324221454657124,3.39566380229569e-16,8.07090458174602e-17,3.11119361101055e-16,6.31841943195375e-16,1.95520505360608e-16,7.49404836000006e-16,5.40987686582967e-16
-10,0.0138065732189681,0.0114189572212002,2.7869068406926e-16,2.11561270335283e-16,4.29690412943661e-16,1.56302729576067e-17,0.422286537209396,1.4673445822918e-16,2.76779992515287e-18,1.66722911547805e-16,8.51613053872027e-16,9.77602526803039e-17,5.0744531962974e-16,2.91575637354627e-16
-9,0.0191677346370495,0.0122195647997719,2.81913286799016e-16,2.11561270335283e-16,5.54905382167392e-16,2.68756491380155e-17,0.507752971207076,2.77283105253465e-16,1.47304969104568e-16,2.69868819492047e-16,7.52699774726002e-16,5.37608974739687e-17,5.01305481767605e-16,8.04364791181267e-16
-8,0.0239204054494958,0.012669477327746,1.88482557225069e-16,1.06189247333118e-16,4.29690412943661e-16,2.98804662961956e-17,0.577742096037868,3.79862997333351e-16,1.6141809163492e-16,1.67801464703991e-16,8.50349294618314e-16,9.77602526803039e-17,3.23297337720469e-16,6.15548567748658e-16
-7,0.0273691321027723,0.012797733380346,1.54172408290126e-16,3.17341905502925e-16,2.83664045777249e-16,2.98396120099765e-17,0.634787887344449,3.79862997333351e-16,1.6141809163492e-16,3.54286187039086e-16,4.8246752880998e-16,9.77602526803039e-17,5.99717531838734e-16,6.15548567748658e-16
-6,0.0293184679052012,0.0127249256011729,1.87942191199344e-16,2.11561270335283e-16,4.29690412943661e-16,2.10866591537167e-17,0.681581464400209,1.12804115688112e-16,8.07090458174602e-17,1.66722911547805e-16,6.54698138705747e-16,1.85353439081856e-16,5.1992539966183e-16,2.91575637354627e-16
-5,0.0300507501172313,0.0125979072811829,2.81913286799016e-16,2.11561270335283e-16,2.41958730471019e-16,1.56302729576067e-17,0.717890747124554,1.51945198933341e-16,7.05235420928972e-17,0.00063970071622667,8.51613053872027e-16,9.77602526803039e-17,5.01305481767605e-16,2.91575637354627e-16
-4,0.0300601229630805,0.0125373684431821,2.54721738389994e-16,2.11561270335283e-16,5.82367845431962e-16,2.98396120099765e-17,0.745772467019017,1.51945198933341e-16,2.28675629816137e-16,0.00338579751935044,6.31841943195375e-16,2.82879818126117e-17,5.01305481767605e-16,8.45776442135777e-16
-3,0.0297005426298366,0.0125432169400982,2.80716025432857e-16,2.04070434244893e-16,4.29690412943661e-16,3.68537627836796e-17,0.766789423449673,3.79862997333351e-16,1.6141809163492e-16,0.00926914325652829,6.34641989938811e-16,9.77602526803039e-17,4.99024409205064e-16,6.15548567748658e-16
