rPos_deg,AOTU019_1,AOTU025_2
-15,0.00146794232205594,4.23004855673205e-16
-14.6456692913386,0.00308372050806405,4.23004855673205e-16
-14.2913385826772,0.00520857564144217,4.23004855673205e-16
-13.9370078740157,0.00832254596259552,2.11502427836603e-16
-13.5826771653543,0.0125133827660668,4.23004855673205e-16
-13.2283464566929,0.0178716497361651,4.23004855673205e-16
-12.8740157480315,0.0246446181994887,2.11502427836603e-16
-12.5196850393701,0.0330379743795901,4.23004855673205e-16
-12.1653543307087,0.0431948355642578,4.23004855673205e-16
-11.8110236220472,0.055255813870017,2.11502427836603e-16
-11.4566929133858,0.0692535240294682,4.23004855673205e-16
-11.1023622047244,0.0853039719162108,7.40258497428109e-16
-10.748031496063,0.103295570032075,4.23004855673205e-16
-10.3937007874016,0.124505428536558,4.23004855673205e-16
-10.0393700787402,0.148021229338035,4.23004855673205e-16
-9.68503937007874,0.173623097360796,2.11502427836603e-16
-9.33070866141732,0.200980806799432,4.23004855673205e-16
-8.97637795275591,0.229887376276784,4.23004855673205e-16
-8.62204724409449,0.260140321663189,2.11502427836603e-16
-8.26771653543307,0.291584821840905,4.23004855673205e-16
-7.91338582677165,0.323910989521707,4.23004855673205e-16
-7.55905511811024,0.356955477545442,2.11502427836603e-16
-7.20472440944882,0.390676332228293,4.23004855673205e-16
-6.8503937007874,0.424884559181226,7.40258497428109e-16
-6.49606299212598,0.459441143173517,4.23004855673205e-16
-6.14173228346457,0.494197055901557,4.23004855673205e-16
-5.78740157480315,0.528911594385896,4.23004855673205e-16
-5.43307086614173,0.563328004373564,2.11502427836603e-16
-5.07874015748031,0.597117739186961,4.23004855673205e-16
-4.7244094488189,0.629940550446781,4.23004855673205e-16
-4.37007874015748,0.661391924970627,2.11502427836603e-16
-4.01574803149606,0.690921883145231,4.23004855673205e-16
-3.66141732283465,0.718323661789891,4.23004855673205e-16
-3.30708661417323,0.743079343587548,2.11502427836603e-16
-2.95275590551181,0.764980515139409,4.23004855673205e-16
-2.59842519685039,0.783685878582828,7.40258497428109e-16
-2.24409448818898,0.799640855768215,4.23004855673205e-16
-1.88976377952756,0.812822998507035,4.23004855673205e-16
-1.53543307086614,0.823316139080752,4.23004855673205e-16
-1.18110236220472,0.831322095793996,2.11502427836603e-16
-0.826771653543307,0.837366943498453,4.23004855673205e-16
-0.472440944881889,0.841560384515904,4.23004855673205e-16
-0.118110236220472,0.844170735829685,2.11502427836603e-16
0.236220472440944,0.845656369811377,4.23004855673205e-16
0.590551181102363,0.846251158781434,4.23004855673205e-16
0.94488188976378,0.846385042933811,2.11502427836603e-16
1.2992125984252,0.846116726795884,4.23004855673205e-16
1.65354330708661,0.845773070271984,7.40258497428109e-16
2.00787401574803,0.844537038465091,4.23004855673205e-16
2.36220472440945,0.844037186076996,4.23004855673205e-16
2.71653543307087,0.844336450172662,4.23004855673205e-16
3.07086614173229,0.84556388972498,2.11502427836603e-16
3.4251968503937,0.847814939729821,4.23004855673205e-16
3.77952755905512,0.851077318863133,4.23004855673205e-16
4.13385826771654,0.855332714000889,2.11502427836603e-16
4.48818897637795,0.860735559691897,4.23004855673205e-16
4.84251968503937,0.867051401830955,4.23004855673205e-16
5.19685039370079,0.874232793918046,2.11502427836603e-16
5.5511811023622,0.882400921490448,4.23004855673205e-16
5.90551181102362,0.891448021665657,7.40258497428109e-16
6.25984251968504,0.901153757296764,4.23004855673205e-16
6.61417322834646,0.911483418098468,4.23004855673205e-16
6.96850393700787,0.922241930076141,4.23004855673205e-16
7.32283464566929,0.93341078207806,2.11502427836603e-16
7.67716535433071,0.944542971458235,4.23004855673205e-16
8.03149606299213,0.95532834790774,4.23004855673205e-16
8.38582677165354,0.965629266299197,2.11502427836603e-16
8.74015748031496,0.974948905650587,4.23004855673205e-16
9.09448818897638,0.983097057685939,4.23004855673205e-16
9.4488188976378,0.989663987434224,2.11502427836603e-16
9.80314960629921,0.994674472080414,4.23004855673205e-16
10.1574803149606,0.997989259603937,7.40258497428109e-16
10.511811023622,0.999815536197244,4.23004855673205e-16
10.8661417322835,1,4.23004855673205e-16
11.2204724409449,0.998971417486633,0.00145270800210419
11.5748031496063,0.99680519850292,0.00349318860074359
11.9291338582677,0.993859897869313,0.00630537278466104
12.2834645669291,0.990404446961943,0.0101053569264156
12.6377952755906,0.98646139042311,0.0147626428354467
12.992125984252,0.982419497432312,0.0201969032531645
13.3464566929134,0.978389197699298,0.0278490510748009
13.7007874015748,0.974650410803662,0.0377193397140591
14.0551181102362,0.971432307330548,0.0498180005680924
14.4094488188976,0.968597659754116,0.0642993829006937
14.7637795275591,0.965912029707547,0.0811314336348335
15.1181102362205,0.963649973310709,0.10036009251025
15.4724409448819,0.961702507722667,0.121725845956415
15.8267716535433,0.959797591586765,0.145706161774698
16.1811023622047,0.958117797492824,0.171913275251498
16.5354330708661,0.956580857687041,0.200176978292142
16.8897637795276,0.955011524098702,0.229983585502979
17.244094488189,0.953471418393974,0.260803523282628
17.5984251968504,0.951780344769391,0.292240996878344
17.9527559055118,0.949797746337401,0.323684599894949
18.3070866141732,0.947473312993738,0.354638853969828
18.6614173228346,0.944789187949659,0.384678472277016
19.0157480314961,0.941640603858162,0.41366752080932
19.3700787401575,0.938030734078742,0.441047161013539
19.7244094488189,0.933881697265512,0.466678160426385
20.0787401574803,0.929390202197273,0.490352781343957
20.4330708661417,0.924625347361175,0.511727357786893
20.7874015748031,0.919441043985807,0.530982340050064
21.1417322834646,0.913937798275339,0.547928320294696
21.496062992126,0.908212129987722,0.562493001663521
21.8503937007874,0.902081570695146,0.574777609359267
22.2047244094488,0.895468036256763,0.584898445186749
22.5590551181102,0.888451544587799,0.593268183745973
22.9133858267717,0.881017377286894,0.599763188818233
23.2677165354331,0.873359692206551,0.604365138088343
23.6220472440945,0.865350931700017,0.606459937377356
23.9763779527559,0.857055467608403,0.607558113448501
24.3307086614173,0.848692746310223,0.607831847812446
24.6850393700787,0.840290356128814,0.607343574009121
25.0393700787402,0.832047653189007,0.606471809226621
25.3937007874016,0.823977586624405,0.605768674455573
25.748031496063,0.81623107273319,0.604386858291249
26.1023622047244,0.808959682180779,0.603025658183185
26.4566929133858,0.802140822921906,0.602118748313286
